pk,mode,model,request,step_number,input_tokens,output_tokens,duration
1,xarp,mistralai/devstral-small-2-2512,Anchor a box to the ,1,3901,15,2.4557409286499023
1,xarp,mistralai/devstral-small-2-2512,Anchor a box to the ,2,4130,169,4.404479026794434
1,xarp,mistralai/devstral-small-2-2512,Anchor a box to the ,3,4527,20,0.7810492515563965
2,base,mistralai/devstral-small-2-2512,Anchor a box to the ,1,2744,790,19.843867778778076
2,base,mistralai/devstral-small-2-2512,Anchor a box to the ,2,4403,205,5.9660491943359375
2,base,mistralai/devstral-small-2-2512,Anchor a box to the ,3,4864,516,12.793081760406494
2,base,mistralai/devstral-small-2-2512,Anchor a box to the ,4,5987,296,7.915824890136719
2,base,mistralai/devstral-small-2-2512,Anchor a box to the ,5,6637,95,2.7028048038482666
3,xarp,minstralai/devstral-small-2-2512,Generate two rotatin,1,3351,15,0.9531781673431396
3,xarp,minstralai/devstral-small-2-2512,Generate two rotatin,2,3579,166,4.355105876922607
3,xarp,minstralai/devstral-small-2-2512,Generate two rotatin,3,3970,196,5.016335964202881
3,xarp,minstralai/devstral-small-2-2512,Generate two rotatin,4,4657,199,45.952017307281494
3,xarp,minstralai/devstral-small-2-2512,Generate two rotatin,5,5154,176,5.030192136764526
3,xarp,minstralai/devstral-small-2-2512,Generate two rotatin,6,5565,20,0.9541289806365967


11, xarp, mistralai/devstral-small-2-2512,"Detect bed by spawning a red sphere above it and a blue cube otherwise                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           "
12, base, mistralai/devstral-small-2-2512,"Detect bed by spawning a red sphere above it and a blue cube otherwise                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           "
14, base, mistralai/devstral-small-2-2512,"Detect flat surfaces in the user's environment (e.g., table, desk, floor) using depth sensing and mesh detection. When a surface is detected, overlay a virtual grid pattern on it.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        "


15, xarp, gpt-5-mini,"Anchor a box to the floor in front of me, and one to the ceiling.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          "
16, base, gpt-5-mini,"Anchor a box to the floor in front of me, and one to the ceiling.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         "
17, xarp, gpt-5-mini,"Generate two continuously rotating cubes in front of me                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   "
18, base, gpt-5-mini,"Generate two continuously rotating cubes in front of me                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "
19, xarp, gpt-5-mini,"Place a blue sphere on my hand (palm)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     "
20, base, gpt-5-mini,"Place a blue sphere on my hand (palm)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     "
21, xarp, gpt-5-mini,"display a yellow 2D texture as a canvas 10 by 10 pixel frame in front of me"
22, base, gpt-5-mini,"display a yellow 2D texture as a canvas 10 by 10 pixel frame in front of me"
23, xarp, gpt-5-mini,"Place a medicine bottle and an everyday portable object such as a backpack in the user's environment and start continuous sensing of RGB, depth, head pose, and hand pose. The system detects and labels both objects and overlays anchored prompts reading ""Medicine bottle detected. Select for guidance."" and ""Backpack detected. Select for assistance."" When the user selects the medicine bottle, the system displays context-aware text anchored to the bottle such as ""Check dosage and timing before use,"" followed by an option to step through dosage instructions. When the user selects the backpack, the system displays an anchored message like ""Need help preparing this item?"" and, upon selection, shows task-oriented guidance such as ""Suggested items based on context: laptop, charger, notebook."" Successful execution demonstrates multi-object detection, object-specific semantic reasoning, context-dependent instruction generation, and dynamic updating of AR text anchored to different physical objects. You can choose different objects as long as you show case at least two."
24, base, gpt-5-mini,"Place a medicine bottle and an everyday portable object such as a backpack in the user's environment and start continuous sensing of RGB, depth, head pose, and hand pose. The system detects and labels both objects and overlays anchored prompts reading ""Medicine bottle detected. Select for guidance."" and ""Backpack detected. Select for assistance."" When the user selects the medicine bottle, the system displays context-aware text anchored to the bottle such as ""Check dosage and timing before use,"" followed by an option to step through dosage instructions. When the user selects the backpack, the system displays an anchored message like ""Need help preparing this item?"" and, upon selection, shows task-oriented guidance such as ""Suggested items based on context: laptop, charger, notebook."" Successful execution demonstrates multi-object detection, object-specific semantic reasoning, context-dependent instruction generation, and dynamic updating of AR text anchored to different physical objects. You can choose different objects as long as you show case at least two."
25, xarp, gpt-5-mini,"For 20 seconds the system detects the distance counter increase based on integrated head pose translation. After 20 seconds stop detecting, and display the distance walked in meters to end task.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           "
26, base, gpt-5-mini,"For 20 seconds the system detects the distance counter increase based on integrated head pose translation. After 20 seconds stop detecting, and display the distance walked in meters to end task.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           "
27, xarp, gpt-5-mini,"Generate a grid of 25 spheres (5x5) arranged in a plane 2 meters in front of the user. Each sphere should be colored based on its position using a gradient (e.g., left side red transitioning to right side blue, and top green transitioning to bottom yellow). After spawning, animate each sphere to move up and down in a wave pattern, where the vertical displacement is computed based on a sine wave that propagates across the grid from left to right.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        "
28, base, gpt-5-mini,"Generate a grid of 25 spheres (5x5) arranged in a plane 2 meters in front of the user. Each sphere should be colored based on its position using a gradient (e.g., left side red transitioning to right side blue, and top green transitioning to bottom yellow). After spawning, animate each sphere to move up and down in a wave pattern, where the vertical displacement is computed based on a sine wave that propagates across the grid from left to right.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        "
